Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
GasA,TA,Y,SBrkr,526,462,988,1,0,1,0,2,1,TA,5,Typ,0,NA,BuiltIn,1973,Unf,1,TA,TA,Y,120,101,0,0,0,NA,GdWo,RM,1596,Pave,NA,Reg,Lvl,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,0,462,NA,0,11,2009,WD,Normal,91000
GasA,Ex,Y,FuseA,952,0,952,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1956,Unf,1,TA,TA,Y,0,0,0,0,0,NA,NA,RL,8475,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,228,724,952,NA,0,4,2008,WD,Normal,135750
GasA,TA,Y,SBrkr,1072,213,1285,1,0,1,0,2,1,TA,6,Min1,0,NA,Detchd,1948,Unf,1,TA,TA,Y,0,0,0,0,0,NA,MnPrv,RM,8635,Pave,NA,Reg,Lvl,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,BLQ,336,295,672,NA,0,1,2008,WD,Normal,127000
GasA,TA,N,SBrkr,1768,0,1768,0,0,2,0,4,2,TA,8,Typ,0,NA,NA,NA,NA,0,NA,NA,Y,0,0,0,0,0,NA,NA,RL,10778,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,1768,1768,NA,0,4,2010,WD,Normal,136500
GasA,Gd,Y,SBrkr,682,548,1230,0,0,1,1,2,1,TA,5,Typ,0,NA,Detchd,1966,Unf,2,TA,TA,Y,74,0,0,0,0,NA,MnPrv,RM,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,440,440,NA,0,5,2009,WD,Normal,110000
GasA,TA,Y,SBrkr,1182,960,2142,0,0,2,1,4,1,Gd,8,Typ,1,Gd,Attchd,1968,Fin,1,TA,TA,Y,0,72,0,252,0,NA,NA,RL,13000,Pave,NA,Reg,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,VinylSd,VinylSd,BrkFace,576,TA,Gd,CBlock,Gd,TA,No,Rec,448,448,896,NA,0,6,2009,WD,Normal,193500
GasA,Ex,Y,SBrkr,1337,0,1337,1,0,2,0,2,1,TA,5,Typ,0,NA,Attchd,1998,Fin,2,TA,TA,Y,0,199,0,0,0,NA,NA,RM,4500,Pave,NA,Reg,Lvl,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,443,TA,Gd,PConc,Ex,Gd,No,GLQ,1201,36,1237,NA,0,3,2006,WD,Normal,153500
GasA,Ex,Y,SBrkr,1563,0,1563,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2007,RFn,3,TA,TA,Y,144,99,0,0,0,NA,NA,RL,10206,Pave,NA,Reg,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,468,TA,TA,PConc,Gd,TA,No,GLQ,33,1530,1563,NA,0,10,2008,WD,Normal,245000
GasA,Gd,Y,SBrkr,1065,0,1065,0,0,1,1,3,1,TA,6,Typ,0,NA,Detchd,1974,Unf,2,TA,TA,Y,74,0,0,0,0,NA,NA,RL,8892,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkCmn,66,TA,TA,CBlock,TA,TA,No,Unf,0,1065,1065,NA,0,7,2007,COD,Normal,126500
GasA,Gd,Y,SBrkr,804,670,1474,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1995,Fin,2,TA,TA,Y,120,72,0,0,0,NA,NA,RL,8530,Pave,NA,IR1,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,HdBoard,HdBoard,BrkFace,22,TA,TA,PConc,Gd,TA,No,Unf,0,384,384,Shed,700,5,2009,WD,Normal,168500
